Run,A,B,C,D,I,II,I bad,II bad
1,-1,-1,-1,-1,7.037,6.376,7037,6376
a,1,-1,-1,-1,14.707,15.219,14707,15219
b,-1,1,-1,-1,11.635,12.089,11635,12089
ab,1,1,-1,-1,17.273,17.815,17273,17815
c,-1,-1,1,-1,10.403,10.151,10403,10151
ac,1,-1,1,-1,4.368,4.098,4368,4098
bc,-1,1,1,-1,9.36,9.253,9360,9253
abc,1,1,1,-1,13.44,12.923,13440,12923
d,-1,-1,-1,1,8.561,8.951,8561,8951
ad,1,-1,-1,1,16.867,17.052,16867,17052
bd,-1,1,-1,1,13.876,13.658,13876,13658
abd,1,1,-1,1,19.824,19.639,19824,19639
cd,-1,-1,1,1,11.846,12.337,11846,12337
acd,1,-1,1,1,6.125,5.904,6125,5904
bcd,-1,1,1,1,11.19,10.935,11190,10935
abcd,1,1,1,1,15.653,15.053,15653,15053
