Trial #,A,B,C,Hang Time,,
1,-1,-1,-1,1.7,,
2,-1,-1,-1,1.78,,
3,-1,-1,-1,1.35,,
4,-1,-1,-1,1.88,,
5,-1,-1,-1,1.78,,
6,-1,-1,-1,1.73,,
7,-1,-1,-1,1.31,,
8,-1,-1,-1,1.75,,
9,-1,-1,-1,1.3,,
10,-1,-1,-1,1.7,,
11,1,-1,-1,2.18,,
12,1,-1,-1,2.19,,
13,1,-1,-1,1.56,,
14,1,-1,-1,2.08,,
15,1,-1,-1,2.15,,
16,1,-1,-1,2.13,,
17,1,-1,-1,1.71,,
18,1,-1,-1,2.18,,
19,1,-1,-1,1.76,,
20,1,-1,-1,1.91,,
21,-1,1,-1,1.58,,
22,-1,1,-1,1.38,,
23,-1,1,-1,1.61,,
24,-1,1,-1,1.48,,
25,-1,1,-1,1.6,,
26,-1,1,-1,1.36,,
27,-1,1,-1,1.61,,
28,-1,1,-1,1.56,,
29,-1,1,-1,1.45,,
30,-1,1,-1,1.41,,
31,-1,-1,1,1.51,,
32,-1,-1,1,1.38,,
33,-1,-1,1,1.51,,
34,-1,-1,1,1.65,,
35,-1,-1,1,1.45,,
36,-1,-1,1,1.51,,
37,-1,-1,1,1.51,,
38,-1,-1,1,1.54,,
39,-1,-1,1,1.38,,
40,-1,-1,1,1.46,,
41,1,1,-1,1.76,,
42,1,1,-1,1.9,,
43,1,1,-1,1.78,,
44,1,1,-1,1.64,,
45,1,1,-1,1.86,,
46,1,1,-1,1.66,,
47,1,1,-1,1.56,,
48,1,1,-1,1.65,,
49,1,1,-1,1.6,,
50,1,1,-1,1.65,,
51,1,-1,1,1.46,,
52,1,-1,1,1.68,,
53,1,-1,1,1.68,,
54,1,-1,1,1.68,,
55,1,-1,1,1.71,,
56,1,-1,1,1.48,,
57,1,-1,1,1.8,,
58,1,-1,1,1.86,,
59,1,-1,1,1.65,,
60,1,-1,1,1.66,,
61,-1,1,1,1.24,,
62,-1,1,1,1.28,,
63,-1,1,1,1.34,,
64,-1,1,1,1.28,,
65,-1,1,1,1.53,,
66,-1,1,1,1.33,,
67,-1,1,1,1.45,,
68,-1,1,1,1.4,,
69,-1,1,1,1.48,,
70,-1,1,1,1.28,,
71,1,1,1,1.4,,
72,1,1,1,1.44,,
73,1,1,1,1.48,,
74,1,1,1,1.65,,
75,1,1,1,1.39,,
76,1,1,1,1.39,,
77,1,1,1,1.31,,
78,1,1,1,1.25,,
79,1,1,1,1.39,,
80,1,1,1,1.58,,
