Proportion Guide,,,,,,,,,,,
,,WEEK,,,RANKING,,,,,,
,,1,-0.888888889,,1,-0.9375,19,0.1875,,1,32
,,2,-0.777777778,,2,-0.875,20,0.25,,2,31
,,3,-0.666666667,,3,-0.8125,21,0.3125,,3,30
,,4,-0.555555556,,4,-0.75,22,0.375,,4,29
,,5,-0.444444444,,5,-0.6875,23,0.4375,,5,28
,,6,-0.333333333,,6,-0.625,24,0.5,,6,27
,,7,-0.222222222,,7,-0.5625,25,0.5625,,7,26
,,8,-0.111111111,,8,-0.5,26,0.625,,8,25
,,9,0,,9,-0.4375,27,0.6875,,9,24
,,10,0.111111111,,10,-0.375,28,0.75,,10,23
,,11,0.222222222,,11,-0.3125,29,0.8125,,11,22
,,12,0.333333333,,12,-0.25,30,0.875,,12,21
,,13,0.444444444,,13,-0.1875,31,0.9375,,13,20
,,14,0.555555556,,14,-0.125,32,1,,14,19
,,15,0.666666667,,15,-0.0625,,,,15,18
,,16,0.777777778,,16,0,,,,16,17
,,17,0.888888889,,17,0.0625,,,,17,16
,,18,1,,18,0.125,,,,18,15
,,,,,,,,,,19,14
,,,,,,,,,,20,13
,,,,,,,,,,21,12
,,,,,,,,,,22,11
,,,,,,,,,,23,10
,,,,,,,,,,24,9
,,,,,,,,,,25,8
,,,,,,,,,,26,7
,,,,,,,,,,27,6
,,,,,,,,,,28,5
,,,,,,,,,,29,4
,,,,,,,,,,30,3
,,,,,,,,,,31,2
,,,,,,,,,,32,1
