prevHome,prevW,prevBye,prevOppWR,strtQB,home,defRank,offRank,spRank,oppDefRank,oppOffRank,oppSpRank,rcQB,rcHC,oppRcQB,oppRcHC,oppPrevHome,oppPrevBye,oppPrevW,winStreak,oppOTprev,OTprev,Opprev,oppOPprev,oppWR,pointsFor,pointsAgainst,prime,tripDist,Week ,Win,Team,Opp,Year
-1,-1,-1,1,1,-1,0.5625,0.25,0.3125,-0.375,-0.0625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,25,20,-1,-1,-0.111111,1,ATL,NYJ,2017
1,1,1,-1,1,1,0.9375,0.3125,1,-0.375,0.75,-0.5,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,38,6,-1,1,-0.888889,1,BAL,CLE,2020
-1,-1,-1,1,1,1,0.0625,0.375,0.8125,-0.125,0.0625,0.6875,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,19,-1,1,0.222222,1,DET,CAR,2018
1,1,-1,1,1,-1,-0.1875,0.125,-0.0625,-0.4375,0.3125,-0.75,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,28,36,1,-1,0.555556,0,PIT,MIN,2021
1,1,-1,-1,1,-1,0,0.75,-0.0625,-0.75,-0.4375,-0.5,1,-1,1,-1,1,-1,1,-0.777778,-1,-1,-1,-1,-1,37,17,-1,-1,-0.222222,1,MIN,NYJ,2018
-1,-1,-1,1,1,1,-0.8125,0.3125,-0.75,0.3125,-0.6875,0.375,-1,-1,-1,-1,1,-1,1,-0.888889,-1,-1,-1,-1,-1,27,33,-1,1,0.666667,0,MIN,CHI,2020
1,-1,-1,1,1,1,-0.5625,-0.25,0.4375,0,0.125,0.625,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,13,32,-1,1,0.222222,0,LV,CIN,2021
-1,1,-1,-1,1,1,0.5625,0.25,0.3125,-0.5625,-0.0625,-0.375,-1,-1,-1,-1,1,-1,1,-0.888889,-1,-1,1,1,1,34,23,1,1,-0.777778,1,ATL,GB,2017
1,-1,-1,1,1,-1,0.3125,0.5625,-0.375,-0.125,0.1875,0.8125,-1,-1,-1,-1,-1,-1,1,-0.777778,-1,-1,-1,1,1,35,14,-1,-1,0.888889,1,TEN,HOU,2019
-1,-1,-1,1,1,-1,-0.875,0.375,-0.6875,-0.125,0.0625,0.6875,-1,-1,-1,-1,1,-1,1,-0.777778,-1,-1,1,-1,1,28,42,-1,0,0,0,TB,CAR,2018
